CODIGO_PROYECTO,N,SUBDIRECCION,PROGRAMA_CONICYT,INSTRUMENTO,NOMBRE_CONCURSO,AÑO_CONCURSO,AÑO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA MINCIENCIA (segUn ax),REGION_EJECUCION,MONTO ADJUDICADO (MILES $),M$_SINFO_NOSOLICITA
11190145,33884,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,"RATIONAL DESIGN, SYNTHESIS, BIOLOGICAL EVALUATION AND STRUCTURE-ACTIVITY RELATIONSHIP STUDY OF NOVEL BENZO[D]IMIDAZOLES AND BENZO[B]THIOPHENES AS AGONISTS OF THE CANNABINOID TYPE 1 AND 2 RECEPTORS.",CIENCIAS NATURALES,QUIMICA 1,QUIMICA 1,36,PERSONA NATURAL,JAVIER HERNAN ROMERO PARRA,HOMBRE,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,74123,
11190184,33896,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,NANOCYLINDRICAL MAGNONIC WAVEGUIDES AND MAGNONIC CRYSTALS.,CIENCIAS NATURALES,FISICA TEORICA Y EXP,FISICA TEORICA Y EXP,36,PERSONA NATURAL,JORGE AUGUSTO OTALORA ARIAS,HOMBRE,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,79060,
11190190,33898,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,AUTOMATIZED SYSTEM OF DETECTION AND CLASSIFICATION OF SEISMIC SIGNALS FOR NORTHERN CHILE VOLCANOES,CIENCIAS NATURALES,CS. DE LA TIERRA,CS. DE LA TIERRA,36,PERSONA NATURAL,PABLO EUGENIO SALAZAR REINOSO,HOMBRE,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,66838,
11190289,33932,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,PERFORMANCE ANALYSIS OF PHOTOVOLTAIC MATERIALS AND DEVICES EXPOSED TO ULTRAVIOLET LIGHT OF ATACAMA DESERT,INGENIERIA Y TECNOLOGIA,INGENIERIA 1,INGENIERIA 1,36,PERSONA NATURAL,PABLO DANIEL FERRADA MARTINEZ,HOMBRE,UNIV.DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,98117,
11190353,33956,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,"PESQUERAS, TRIPULANTES Y CULTURA: EL PROCESO DE REESTRUCTURACION DE LA PESCA INDUSTRIAL BAJO EL MODELO NEOLIBERAL DEL NORTE GRANDE DE CHILE (1978-1990).",CIENCIAS SOCIALES,ANTROP. Y ARQUE,ANTROP. Y ARQUE,36,PERSONA NATURAL,CLAUDIO ROBERTO AGUIRRE MUNIZAGA,HOMBRE,UNIV.DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,78360,
11190356,33959,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,CANTANDO Y BAILANDO AL INKA: REPRESENTACIONES MUSICO-COREOGRAFICAS DE MEMORIA EN LOS ANDES,HUMANIDADES,ARTES Y ARQUITECTURA,ARTES Y ARQUITECTURA,36,PERSONA NATURAL,PAULA ALEJANDRA MARTINEZ SAGREDO,MUJER,UNIV.DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,76321,
11190698,34071,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,DESIGN AND SYNTHESIS OF ENANTIOPURE HYDROISOQUINOLINES VIA ORGANOCATALYSIS,CIENCIAS NATURALES,QUIMICA 2,QUIMICA 2,36,PERSONA NATURAL,CLAUDIO ANDRES PARRA MONTES,HOMBRE,UNIV.DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,79320,
11190715,34078,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,"HACIA UNA ARQUEOLOGIA DE LA PROSTITUCION: MATERIALIDADES, ESPACIALIDADES Y MEMORIAS DEL TRABAJO SEXUAL FEMENINO EN OFICINAS Y PUEBLOS SALITREROS DE LA REGION DE ANTOFAGASTA (1880-1940)",CIENCIAS SOCIALES,ANTROP. Y ARQUE,ANTROP. Y ARQUE,36,PERSONA NATURAL,MARIA FERNANDA KALAZICH ROSALES,MUJER,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,99458,
11190754,34088,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,NITROGEN-FIXING BACTERIAL ENDOPHYTES FROM ATACAMA DESERT PLANTS ENHANCES THE GROWTH AND WATER/NUTRITION-STRESS TOLERANCE OF PINUS RADIATA: IMPLICATION FOR MITIGATING IMPACTS OF CLIMATE CHANGE IN FOREST SPECIES,CIENCIAS AGRICOLAS,AGRONOMIA,AGRONOMIA,36,PERSONA NATURAL,ROMULO DANILO OSES PEDRAZA,HOMBRE,UNIV.DE ATACAMA,NORTE,03. ATACAMA,97870,
11190815,34104,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,THERMODYNAMIC FORMALISM FOR DISCONTINUOUS SEMIFLOWS,CIENCIAS NATURALES,MATEMATICAS,MATEMATICAS,36,PERSONA NATURAL,NELDA DIANA JAQUE TAMBLAY,MUJER,UNIV.DE ATACAMA,NORTE,03. ATACAMA,65160,
11190818,34105,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,ABUSO SEXUAL EN INSTITUCIONES RELIGIOSAS DEL NORTE DE CHILE: ANALISIS DE TRAYECTORIAS DE VIDA DE LAS VICTIMAS Y RESPUESTAS INSTITUCIONALES FRENTE A LAS ACUSACIONES.,CIENCIAS SOCIALES,PSICOLOGIA,SICOLOGIA,36,PERSONA NATURAL,CRISTIAN GUSTAVO PINTO CORTEZ,HOMBRE,UNIV.DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,39402,
11190834,34111,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,"THE POTENTIAL USE OF QUINOA SEEDHULL POWDER, A RICH SOURCE OF SAPONINS AND BIOACTIVE COMPOUNDS, AS PLANT BIOSTIMULANT.",CIENCIAS AGRICOLAS,AGRONOMIA,AGRONOMIA,36,PERSONA NATURAL,KARINA BEATRIZ RUIZ CARRASCO,MUJER,UNIV.ARTURO PRAT,NORTE,01. TARAPACA,78638,
11190918,34143,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,OCEANIC RESPONSE TO WIND-STRESS CURL AND ITS IMPORTANCE IN COASTAL SYSTEMS OF CENTRAL-NORTHERN CHILE (28Â°S - 30Â° S).,CIENCIAS NATURALES,CS. DE LA TIERRA,CS. DE LA TIERRA,36,PERSONA NATURAL,LUIS ANDRES BRAVO GOMEZ,HOMBRE,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,99671,
11190972,34158,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,PHYTOCHEMICAL STUDY AND ANTIOXIDANT ACTIVITY OF AN ENDEMIC PLANT OF THE HIGH-PLANES OF NORTHERN CHILE WERNERIA GLABERRIMA: PROTECTIVE EFFECT IN CELLULAR MODELS OF PARKINSON'S DISEASE.,CIENCIAS NATURALES,QUIMICA 1,QUIMICA 1,36,PERSONA NATURAL,ADRIAN GUILLERMO PAREDES POBLETE,HOMBRE,UNIV.DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,81312,
11190980,34160,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,IDENTIDADES SUPERORDINADAS Y EMOCIONES AUTOTRASCENDENTES: EL PAPEL DE ASOMBRO Y ELEVACION EN INCENTIVAR LA IDENTIDAD GLOBAL,CIENCIAS SOCIALES,PSICOLOGIA,SICOLOGIA,36,PERSONA NATURAL,ANNA MARCELINA WLODARCZYK,MUJER,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,73466,
11191012,34170,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,DEVELOPING NEW LEWIS ACID/BASE AND FRUSTRATED PAIRS,CIENCIAS NATURALES,QUIMICA 1,QUIMICA 1,36,PERSONA NATURAL,RICARDO JESUS INOSTROZA RIVERA,HOMBRE,UNIV.ARTURO PRAT,NORTE,01. TARAPACA,73505,
11191027,34176,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,THE ROLE OF DISCOURSE OF UNIVERSITY STUDENTS WITH INVISIBLE DISABILITIES IN DOCTOR-PATIENT COMMUNICATION,HUMANIDADES,"LINGUISTICA,LITERATU","LINGUISTICA,LITERATU",36,PERSONA NATURAL,AGNIESZKA SOWINSKA,MUJER,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,56941,
11191049,34179,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,REGULATION OF SEROTONIN TRANSPORTER FUNCTION BY G PROTEIN BETA-GAMMA SUBUNITS,CIENCIAS NATURALES,BIOLOGIA 3,BIOLOGIA 3,36,PERSONA NATURAL,JOSE ANTONIO PINO REYES,HOMBRE,UNIV.DE ATACAMA,NORTE,03. ATACAMA,98031,
51,34239,REC,PCI,INVESTIGACION CONJUNTA - ERAMIN2,"CONCURSO ERAMIN2, PARA INVESTIGACION CONJUNTA",2019,2019,"SIDEROPHORES ASSISTED BIORECOVERY OF TECHNOLOGY CRITICAL ELEMENTS: GALLIUM (GA), GERMANIUM (GE) AND INDIUM (IN) FROM END-OF-LIFE PRODUCTS",CIENCIAS NATURALES,,NO APLICA,36,PERSONA JURIDICA,LUIS ROJAS ARAYA,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,75000,
MEC80190006,34300,REC,PCI,MOVILIDAD - MEC,"CONCURSO DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS â€“ MEC â€“ , CONVOCATORIA 2019",2019,2019,NUEVAS TECNOLOGIAS PARA EL PROCESAMIENTO DE MINERALES Y RELAVES EN BENEFICIO DE LA ECONOMIA CIRCULAR,INGENIERIA Y TECNOLOGIA,,NO APLICA,18,PERSONA JURIDICA,LUIS CISTERNAS ARAPIO,HOMBRE,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,13900,
MEC80190008,34302,REC,PCI,MOVILIDAD - MEC,"CONCURSO DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS â€“ MEC â€“ , CONVOCATORIA 2019",2019,2019,REDUCCION DE SESGO EN LA ESTIMACION DE LAS PERDIDAS EN LAS CARTERAS DE SEGUROS GENERALES Y UNA EXTENSION DE UN MODELO DE SOBREVIVENCIA CON FRACCION DE CURA,CIENCIAS NATURALES,,NO APLICA,18,PERSONA JURIDICA,DIEGO GALLARDO MATELUNA,HOMBRE,UNIVERSIDAD DE ATACAMA,NORTE,03. ATACAMA,11100,
MEC80190012,34304,REC,PCI,MOVILIDAD - MEC,"CONCURSO DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS â€“ MEC â€“ , CONVOCATORIA 2019",2019,2019,FORTALECIMIENTO DE LA INVESTIGACION Y LA DOCENCIA DEL DOCTORADO EN CIENCIAS MENCION GEOLOGIA EN EL AREA DE GEOMICROBIOLOGIA EN AMBIENTES EXTREMOS DE LA UNIVERSIDAD CATOLICA DEL NORTE,CIENCIAS NATURALES,,NO APLICA,18,PERSONA JURIDICA,BARBARA FUENTES SIEGMUND,MUJER,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,11100,
MEC80190019,34306,REC,PCI,MOVILIDAD - MEC,"CONCURSO DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS â€“ MEC â€“ , CONVOCATORIA 2019",2019,2019,FORTALECIMIENTO CIENTIFICO-ACADEMICO DEL AREA DE METALURGIA DE LA UNIVERSIDAD CATOLICA DEL NORTE,INGENIERIA Y TECNOLOGIA,,NO APLICA,18,PERSONA JURIDICA,EDELMIRA GALVEZ AHUMADA,MUJER,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,13900,
MEC80190032,34311,REC,PCI,MOVILIDAD - MEC,"CONCURSO DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS â€“ MEC â€“ , CONVOCATORIA 2019",2019,2019,FORTALECIMIENTO DE LAS COMPETENCIAS EN INVESTIGACION Y PUBLICACION CIENTIFICA DE LOS ACADEMICOS DE LA UNIVERSIDAD ARTURO PRAT,INGENIERIA Y TECNOLOGIA,,NO APLICA,18,PERSONA JURIDICA,JAIME TAPIA QUEZADA,HOMBRE,UNIVERSIDAD ARTURO PRAT,NORTE,01. TARAPACA,9600,
MEC80190056,34321,REC,PCI,MOVILIDAD - MEC,"CONCURSO DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS â€“ MEC â€“ , CONVOCATORIA 2019",2019,2019,DINAMICA DE FOKKER-PLANCK NO-LINEAL Y FISICA DE LA INFORMACION,CIENCIAS NATURALES,,NO APLICA,18,PERSONA JURIDICA,SERGIO CURILEF HUICHALAF,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,13200,
MEC80190083,34332,REC,PCI,MOVILIDAD - MEC,"CONCURSO DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS â€“ MEC â€“ , CONVOCATORIA 2019",2019,2019,OPTIMIZACION DE METODOS DE COSECHA PARA LA OBTENCION DE BIOMASA MICROALGAL DE CALIDAD.,INGENIERIA Y TECNOLOGIA,,NO APLICA,18,PERSONA JURIDICA,CLAUDIA SEPULVEDA VEGA,MUJER,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,11100,
MEC80190101,34340,REC,PCI,MOVILIDAD - MEC,"CONCURSO DE ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS â€“ MEC â€“ , CONVOCATORIA 2019",2019,2019,FORTALECIMIENTO DEL MAGISTER EN QUIMICA A TRAVES DE LA INVESTIGACION TEORICO-EXPERIMENTAL EN QUIMICA DE MATERIALES,CIENCIAS NATURALES,,NO APLICA,18,PERSONA JURIDICA,SERGIO CONEJEROS ESPINDOLA,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,22300,
ER190010,34356,NO APLICA,EXPLORA,PAR - Etapa 1,VIII Concurso Proyecto Asociativo Regional de DivulgaciOn y ValoraciOn CientIfica y TecnolOgica Explora 2019-2022,2019,2019,PAR ANTOFAGASTA,MULTIDISCIPLINARIO,,NO APLICA,24,PERSONA JURIDICA,OLGA HERANDEZ GALLO,MUJER,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,250000,
ER190011,34357,NO APLICA,EXPLORA,PAR - Etapa 1,VIII Concurso Proyecto Asociativo Regional de DivulgaciOn y ValoraciOn CientIfica y TecnolOgica Explora 2019-2022,2019,2019,PAR ARICA Y PARINACOTA,MULTIDISCIPLINARIO,,NO APLICA,24,PERSONA JURIDICA,MONICA NAVARRETE ALVAREZ,MUJER,UNIVERSIDAD DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,250000,
ER190012,34358,NO APLICA,EXPLORA,PAR - Etapa 1,VIII Concurso Proyecto Asociativo Regional de DivulgaciOn y ValoraciOn CientIfica y TecnolOgica Explora 2019-2022,2019,2019,PROYECTO ASOCIATIVO REGIONAL EXPLORA DE CONICYT TARAPACA,MULTIDISCIPLINARIO,,NO APLICA,24,PERSONA JURIDICA,VALESKA ZEPEDA CORDERO,MUJER,UNIVERSIDAD DE TARAPACA,NORTE,01. TARAPACA,250000,
ER190035,34365,NO APLICA,EXPLORA,PAR - Etapa 1,VIII Concurso Proyecto Asociativo Regional de DivulgaciOn y ValoraciOn CientIfica y TecnolOgica Explora 2019-2022,2019,2019,PAR ATACAMA,MULTIDISCIPLINARIO,,NO APLICA,24,PERSONA JURIDICA,ADOLFO GALAZ ESQUIVEL,HOMBRE,UNIVERSIDAD DE ATACAMA,NORTE,03. ATACAMA,250000,
3190208,34436,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,POSTDOCTORADO,2019,2019,"METODOS DE KRYLOV PARA PROBLEMAS POLINOMIALES Y RACIONALES DE AUTOVALORES CON MATRICES DE GRAN TAMAÃ‘O, Y ANALISIS DE ESTABILIDAD REGRESIVA",CIENCIAS NATURALES,MATEMATICAS,MATEMATICAS,35,PERSONA NATURAL,ANDRES JAVIER GONZALEZ PIZARRO,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,79986,
3190231,34440,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,POSTDOCTORADO,2019,2019,Galactic Evolution and Chemical Tagging with Open Clusters and Stellar Pairs,CIENCIAS NATURALES,ASTRONOMIA,"ASTRON.,COSMOL.Y PAR",SIN INFORMACION,PERSONA NATURAL,Bala Sudhakara Reddy Arumalla,HOMBRE,UNIV.DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,,SIN INFORMACION
3190500,34522,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,POSTDOCTORADO,2019,2019,"SINTESIS, ESTRUCTURA Y PROPIEDADES, LUMINISCENTES, TERMICAS, ELECTRONICAS DE POLIMEROS DE COORDINACION DE ZN2+ Y CD2+, BASADOS EN NUEVOS LIGANDOS DERIVADOS DE TRIAZOL/DICETONATOS.",CIENCIAS NATURALES,QUIMICA 1,QUIMICA 1,35,PERSONA NATURAL,ERICK JONATHAN CISTERNA GARCIA,HOMBRE,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,79986,
3190561,34552,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,POSTDOCTORADO,2019,2019,The role of AGN and star-formation outflows in galaxy evolution,CIENCIAS NATURALES,ASTRONOMIA,"ASTRON.,COSMOL.Y PAR",SIN INFORMACION,PERSONA NATURAL,Guilherme dos Santos Couto,HOMBRE,UNIV.DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,,SIN INFORMACION
3190566,34554,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,POSTDOCTORADO,2019,2019,ESTRATEGIAS DE EXPLOTACION DE CAMELIDOS Y CAMBIO CLIMATICO EN LA PUNA DE ATACAMA DURANTE EL HOLOCENO TARDIO: EL APORTE DEL ANALISIS ISOTOPICO SECUENCIAL,CIENCIAS SOCIALES,ANTROP. Y ARQUE,ANTROP. Y ARQUE,35,PERSONA NATURAL,TAMARA CELESTE SAMEC,MUJER,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,54824,
3190744,34608,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,POSTDOCTORADO,2019,2019,EFFECT OF GLYPHOSATE ON THE ESTROGEN RECEPTOR ACTIVITY IN HUMAN MAMMARY CELLS,CIENCIAS NATURALES,BIOLOGIA 3,BIOLOGIA 3,35,PERSONA NATURAL,PABLO JUAN MUÃ‘OZ BARRERA,HOMBRE,UNIVERSIDAD DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,79986,
3190769,34617,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,POSTDOCTORADO,2019,2019,STELLAR POPULATIONS IN NEARBY GALAXIES: A PANCHROMATIC APPROACH,CIENCIAS NATURALES,"ASTRON.,COSMOL.Y PAR","ASTRON.,COSMOL.Y PAR",35,PERSONA NATURAL,NATACHA ZANON DAMETTO,MUJER,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,82986,
3190786,34619,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,POSTDOCTORADO,2019,2019,CARACTERIZACION DE LOS ROLES DE ABSORCION QUIMICA VERSUS INGESTA BIOLOGICA DE METALES PESADOS EN ESPECIES DE UNA CUENCA DE UN RIO ALTAMENTE CONTAMINADO,CIENCIAS NATURALES,QUIMICA 2,QUIMICA 2,35,PERSONA NATURAL,ANDRES PABLO PEREZ VILLALOBOS,HOMBRE,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,79806,
3190821,34629,PROYECTOS DE INVESTIGACION,FONDECYT,POSTDOCTORADO,POSTDOCTORADO,2019,2019,MICROBIAL-MINERAL INTERACTIONS FROM SALINE BASINS IN NORTHERN CHILE: IMPLICATIONS FOR THE PRECIPITATION OF GYPSUM AND OTHER EVAPORITES.,CIENCIAS NATURALES,CS. DE LA TIERRA,CS. DE LA TIERRA,35,PERSONA NATURAL,OSCAR CABESTRERO ARANDA,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,80686,
ED230112,34681,NO APLICA,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,XXIII CONCURSO NACIONAL DE PROYECTOS EXPLORA PARA ELABORACION DE PRODUCTOS DE DIVULGACION DE LAS CIENCIAS Y LA TECNOLOGIA 2019-2020,2019,2019,EXPLORADORES DE LA BIODIVERSIDAD DE LA PUNA,CIENCIAS NATURALES,CIENCIAS DEL MEDIO AMBIENTE,NO APLICA,12,PERSONA NATURAL,Daniela fullerton,MUJER,Daniela Fullerton Moreno,NORTE,15. ARICA Y PARINACOTA,29780,
REDES190172,34758,REC,PCI,REDES INTERNACIONALES - REDES,APOYO A LA FORMACION DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACION CONVOCATORIA 2019,2019,2019,International Research Network on Contemporary Archaeology Studies in the Atacama Desert,HUMANIDADES,ARQUEOLOGIA,NO APLICA,24,PERSONA JURIDICA,Valentina Figueroa,MUJER,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,16000,
1190056,34801,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,REGULAR,2019,2019,THE BOUNDARIES OF GENDER VIOLENCE: WOMAN MIGRANT EXPERIENCES IN SOUTH AMERICAN BORDER TERRITORIES,CIENCIAS SOCIALES,ANTROP. Y ARQUE,ANTROP. Y ARQUE,"43,1",PERSONA NATURAL,MENARA LUBE GUIZARDI,MUJER,UNIVERSIDAD DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,253318,
1190142,34831,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,REGULAR,2019,2019,LINEAR CONTROL SYSTEMS ON LIE GROUPS. GEOMETRIC AND DYNAMIC RELATED TOPICS,CIENCIAS NATURALES,MATEMATICAS,MATEMATICAS,"43,1",PERSONA NATURAL,VICTOR AYALA BRAVO,HOMBRE,UNIVERSIDAD DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,100504,
1190197,34845,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,REGULAR,2019,2019,"OCUPACIONES HUMANAS Y PAISAJES DE ALTURA. MARCO PALEOAMBIENTAL Y GEOARQUEOLOGICO DURANTE EL POBLAMIENTO HUMANO INICIAL EN LA PUNA MERIDIONAL DEL DESIERTO DE ATACAMA (26-28Â°S, 3.200-4.500 MSNM)",CIENCIAS SOCIALES,ANTROP. Y ARQUE,ANTROP. Y ARQUE,"43,1",PERSONA NATURAL,PATRICIO LOPEZ MENDOZA,HOMBRE,MUSEO DE HIST.NATURAL Y CULT.DEL DESIERT,NORTE,03. ATACAMA,249433,
1190240,34860,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,REGULAR,2019,2019,"APEGO ADULTO, HOMOFOBIA INTERNALIZADA Y CALIDAD DE LA RELACION EN PAREJAS DEL MISMO SEXO EN CHILE",CIENCIAS SOCIALES,PSICOLOGIA,SICOLOGIA,"43,1",PERSONA NATURAL,MONICA GUZMAN GONZALEZ,MUJER,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,154585,
1190263,34871,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,REGULAR,2019,2019,"COLORES, POLVOS Y MINAS DEL PERIODO INTERMEDIO TARDIO. BIOGRAFIAS PIGMENTARIAS DEL DESIERTO DE ATACAMA.",CIENCIAS SOCIALES,ANTROP. Y ARQUE,ANTROP. Y ARQUE,"43,1",PERSONA NATURAL,MARCELA SEPULVEDA RETAMAL,MUJER,UNIVERSIDAD DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,232228,
1190303,34883,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,REGULAR,2019,2019,EL IMPULSO ENDOGENO INICIAL DEL CICLO DEL SALITRE. LAS CLAVES TARAPAQUEÃ‘AS DE LA TRANSFORMACION DEL DESIERTO DE ATACAMA (1830-1872).,HUMANIDADES,HISTORIA,HISTORIA,"43,1",PERSONA NATURAL,SERGIO GONZALEZ MIRANDA,HOMBRE,UNIVERSIDAD DE TARAPACA,NORTE,01. TARAPACA,171828,
